Entity,Average surface temperature.1,Kmeans_Cluster
Afghanistan,12.061308223529412,3
Albania,12.301476305882353,3
Algeria,22.94863005882353,0
American Samoa,26.524252905882353,2
Andorra,4.823613403529412,3
Angola,21.824167329411765,0
Anguilla,25.94424754117647,2
Antigua and Barbuda,25.973052364705882,2
Argentina,14.453877176470588,3
Armenia,6.008934511764705,3
Australia,21.974219423529412,0
Austria,6.090211623529412,3
Azerbaijan,11.70214528235294,3
Bahamas,25.3080856,2
Bahrain,25.829869188235296,2
Bangladesh,25.12991068235294,2
Belarus,6.500605388235294,3
Belgium,9.728731288235295,3
Belize,24.998897529411764,2
Benin,27.057181011764705,2
Bhutan,7.7529713176470585,3
Bolivia,19.775999788235293,0
Bosnia and Herzegovina,9.635822176470588,3
Botswana,21.75868776470588,0
Brazil,24.61166025882353,2
Brunei,25.81143591764706,2
Bulgaria,10.960059352941176,3
Burkina Faso,28.105629964705884,2
Burundi,20.1620718,0
Cambodia,26.81286514117647,2
Cameroon,24.170522447058822,2
Canada,-4.2615586141176465,1
Cape Verde,22.581889211764707,0
Cayman Islands,26.596016788235293,2
Central African Republic,25.55164884705882,2
Chad,26.532124552941177,2
Chile,8.727856835294117,3
China,6.724218417647059,3
Colombia,23.491085952941177,2
Comoros,24.76652474117647,2
Congo,24.342212800000002,2
Cook Islands,24.096868870588235,2
Costa Rica,22.729437329411763,0
Cote d'Ivoire,25.906068258823527,2
Croatia,11.527856294117647,3
Cuba,25.27347777647059,2
Cyprus,19.164267670588234,0
Czechia,7.931647250588235,3
Democratic Republic of Congo,23.653068411764703,2
Denmark,8.307554710588235,3
Djibouti,27.809054552941177,2
Dominican Republic,23.94588963529412,2
East Timor,24.208375529411764,2
Ecuador,20.26483544705882,0
Egypt,22.351787141176473,0
El Salvador,25.57504854117647,2
Equatorial Guinea,23.259294929411766,2
Eritrea,26.222814152941176,2
Estonia,5.570789429411764,3
Eswatini,19.47914002352941,0
Ethiopia,22.74140425882353,0
Falkland Islands,6.438994261176471,3
Faroe Islands,6.834614547058824,3
Fiji,24.103755188235294,2
Finland,2.259964029,1
France,12.902884211764706,3
French Polynesia,25.22018348235294,2
Gabon,24.071478588235294,2
Gambia,27.29284261176471,2
Georgia,7.5839907694117645,3
Germany,8.80778732,3
Ghana,26.89509748235294,2
Greece,14.610409570588235,3
Greenland,-18.882293247058822,1
Guatemala,22.312696941176473,0
Guinea,25.53168131764706,2
