year,Average surface temperature,Entity
2025,13.859288920673569,Afghanistan
2026,13.826966957760108,Afghanistan
2027,13.477701810589505,Afghanistan
2028,13.856259336709495,Afghanistan
2029,13.39370208588267,Afghanistan
2030,14.041628839023836,Afghanistan
2031,13.8141178351677,Afghanistan
2032,13.311606635695325,Afghanistan
2033,13.699610809847524,Afghanistan
2034,13.78402375773642,Afghanistan
2035,14.101269260450907,Afghanistan
2036,13.634297943178607,Afghanistan
2037,14.145473273419501,Afghanistan
2038,14.06609066170201,Afghanistan
2039,13.815300131271472,Afghanistan
2040,14.233736290401069,Afghanistan
2041,13.792538569836552,Afghanistan
2042,14.397847493689886,Afghanistan
2043,14.117554330218649,Afghanistan
2044,13.60604445983496,Afghanistan
2045,14.112093202620718,Afghanistan
2046,14.166493601933235,Afghanistan
2047,14.461394576845564,Afghanistan
2048,14.006291513615288,Afghanistan
2049,14.503564941092545,Afghanistan
2050,14.428677006618985,Afghanistan
2051,14.168481344083075,Afghanistan
2052,14.583108767275906,Afghanistan
2053,14.139871036701946,Afghanistan
2054,14.749250312162276,Afghanistan
2025,13.832844555619381,Albania
2026,13.835966070044263,Albania
2027,13.70561265752446,Albania
2028,13.524563030220186,Albania
2029,13.328394187635148,Albania
2030,13.844449309958655,Albania
2031,13.867981137372592,Albania
2032,13.868249853905319,Albania
2033,13.95808392584671,Albania
2034,14.040141706566434,Albania
2035,14.064495496742104,Albania
2036,14.221421872827522,Albania
2037,14.203982467743963,Albania
2038,14.23838417483253,Albania
2039,14.196205767360153,Albania
2040,14.068162650719014,Albania
2041,13.922645278677159,Albania
2042,14.466640734447202,Albania
2043,14.413507302146337,Albania
2044,14.346589025829159,Albania
2045,14.321478784339027,Albania
2046,14.513862637504802,Albania
2047,14.649307952461475,Albania
2048,14.977528051373122,Albania
2049,14.74034168074065,Albania
2050,14.763022252532133,Albania
2051,14.68780341030701,Albania
2052,14.539897996451929,Albania
2053,14.375400794391547,Albania
2054,14.908926607843412,Albania
2025,25.059416118892432,Algeria
2026,24.971410214144722,Algeria
2027,24.83852693283919,Algeria
2028,24.759864613030846,Algeria
2029,25.0501018103641,Algeria
2030,25.12782468252856,Algeria
2031,25.081420739049282,Algeria
2032,24.961807328382825,Algeria
2033,25.12901908812521,Algeria
2034,25.11233094558041,Algeria
2035,25.28784545111479,Algeria
2036,25.063656884605848,Algeria
2037,25.366108198945117,Algeria
2038,25.398359217745558,Algeria
2039,25.26101861385357,Algeria
2040,25.243960366052487,Algeria
2041,25.477470748670136,Algeria
2042,25.55130507208329,Algeria
2043,25.497522245063774,Algeria
2044,25.433676933672203,Algeria
2045,25.62267316848563,Algeria
2046,25.570900973126818,Algeria
2047,25.747828492793758,Algeria
2048,25.570558167689317,Algeria
2049,25.833238280107484,Algeria
2050,25.85747074590754,Algeria
2051,25.720427349664803,Algeria
2052,25.699261433861977,Algeria
2053,25.936554276211027,Algeria
2054,26.01064788227806,Algeria
2025,27.100955825722547,American Samoa
2026,27.052500084061883,American Samoa
2027,26.97712760306837,American Samoa
2028,27.253237585647412,American Samoa
2029,27.175799007189273,American Samoa
2030,27.10688153064138,American Samoa
2031,27.264095892440384,American Samoa
2032,27.076933719011524,American Samoa
2033,27.00215570255306,American Samoa
2034,26.895878908383317,American Samoa
2035,27.064978857998263,American Samoa
2036,27.274520965757542,American Samoa
2037,27.181647241081635,American Samoa
2038,27.180296496753606,American Samoa
2039,27.126303135060986,American Samoa
2040,27.362159538573373,American Samoa
2041,27.29090233960658,American Samoa
2042,27.244885856271594,American Samoa
2043,27.34220808764295,American Samoa
2044,27.179505408008563,American Samoa
2045,27.155829430057988,American Samoa
2046,27.074503394417125,American Samoa
2047,27.160281406973045,American Samoa
2048,27.337551031340684,American Samoa
2049,27.28366498356126,American Samoa
2050,27.297047071780725,American Samoa
2051,27.249740367463666,American Samoa
2052,27.473006828352855,American Samoa
2053,27.40368295346234,American Samoa
2054,27.364829117473903,American Samoa
2025,6.127123611583837,Andorra
2026,6.65481379069887,Andorra
2027,6.831881791887768,Andorra
2028,6.4330293151456726,Andorra
2029,6.652292966079635,Andorra
2030,6.941232924084097,Andorra
2031,6.962631120518499,Andorra
2032,6.470187283999496,Andorra
2033,6.702401638578819,Andorra
2034,7.0388853906459214,Andorra
2035,7.242249969869879,Andorra
2036,7.095011080936725,Andorra
2037,6.710819804417338,Andorra
2038,7.142203655207151,Andorra
2039,7.2939064407578895,Andorra
2040,6.8945995206469135,Andorra
2041,7.108059577532524,Andorra
2042,7.483180517984181,Andorra
2043,7.468718850694449,Andorra
2044,6.9479299951946825,Andorra
2045,7.28653542523698,Andorra
2046,7.423319247645628,Andorra
2047,7.645203732288664,Andorra
2048,7.535688276458195,Andorra
2049,7.18379361902316,Andorra
2050,7.604094310545748,Andorra
2051,7.7528780072925345,Andorra
